"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 14:20:14 UZT 2024","Thu Feb 08 14:21:00 UZT 2024","45725","tests","test_changing_currency","TestChangingCurrency","","","Compare Stays item price currency to webtise currency: JPY","Check if changin website currency affects items in Stays Page and price/currency matches the website configuration"
"broken","Thu Feb 08 14:36:33 UZT 2024","Thu Feb 08 14:36:53 UZT 2024","20322","tests","test_sign_in","TestSignIn","","","Sign In with Password: RightPassword1","This test checks if password is correct for given account"
"passed","Thu Feb 08 14:28:01 UZT 2024","Thu Feb 08 14:28:57 UZT 2024","55503","tests","test_changing_currency","TestChangingCurrency","","","Compare Airport TAXI price currency to webtise currency: EUR","Check if changin website currency affects items in Airport TAXI Page and price/currency matches the website configuration"
"failed","Thu Feb 08 14:35:36 UZT 2024","Thu Feb 08 14:35:42 UZT 2024","5197","tests","test_sign_in","TestSignIn","","","Validate Email: ","This test checks if email is correct and passes only if email has correct syntacsis "
"broken","Thu Feb 08 14:23:38 UZT 2024","Thu Feb 08 14:24:35 UZT 2024","57313","tests","test_changing_currency","TestChangingCurrency","","","Compare Car Rental price currency to webtise currency: USD","Check if changin website currency affects items in Car Rental Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:33:49 UZT 2024","Thu Feb 08 14:33:58 UZT 2024","9316","tests","test_registration","TestRegistration","","","Validate Password: aaaaaaaaaa == ","This test checks if password is correct and passes only if password satisfies requirements"
"broken","Thu Feb 08 14:41:33 UZT 2024","Thu Feb 08 14:41:54 UZT 2024","21816","tests","test_upload_profile_image","TestUploadProfileImage","","","Set image type file as profile image: 200 x 200","This test check if user can set different  size of imag as profile image"
"passed","Thu Feb 08 14:38:31 UZT 2024","Thu Feb 08 14:39:14 UZT 2024","42740","tests","test_stays","TestStays","","","Test Stay destination: Samarkand.","The test verifies that the correct stay destinations are found for the expected search destination."
"passed","Thu Feb 08 14:31:07 UZT 2024","Thu Feb 08 14:32:18 UZT 2024","71330","tests","test_changing_currency","TestChangingCurrency","","","Compare Flight price currency to webtise currency: EUR","Check if changin website currency affects items in Flights Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:22:23 UZT 2024","Thu Feb 08 14:23:01 UZT 2024","37612","tests","test_changing_currency","TestChangingCurrency","","","Compare Attractions item price currency to webtise currency: JPY","Check if changin website currency affects items in Attractions Page and price/currency matches the website configuration"
"passed","Thu Feb 08 14:19:22 UZT 2024","Thu Feb 08 14:19:29 UZT 2024","6319","tests","test_changing_currency","TestChangingCurrency","","","Set Preconditions","This setup test opens website for further test automations"
"broken","Thu Feb 08 14:32:46 UZT 2024","Thu Feb 08 14:32:57 UZT 2024","11007","tests","test_flight_page","TestBookingFlight","","","check given variants","function clicks nav bar steps to check various recommendations of web-interface"
"passed","Thu Feb 08 14:34:07 UZT 2024","Thu Feb 08 14:34:17 UZT 2024","9313","tests","test_registration","TestRegistration","","","Validate Password: aaaaaaaaa1 == ","This test checks if password is correct and passes only if password satisfies requirements"
"passed","Thu Feb 08 14:32:18 UZT 2024","Thu Feb 08 14:32:22 UZT 2024","3726","tests","test_flight_page","TestBookingFlight","","","opening main url","step opens main page and shows details of page"
"passed","Thu Feb 08 14:16:30 UZT 2024","Thu Feb 08 14:16:38 UZT 2024","7775","tests","test_booking_attractions","TestBookingAttraction","","","Find Attraction: Tashkent x Tashkent City","This test verifes if attraction exist in given location"
"passed","Thu Feb 08 14:37:47 UZT 2024","Thu Feb 08 14:38:31 UZT 2024","44125","tests","test_stays","TestStays","","","Test Stay destination: Tbilisi.","The test verifies that the correct stay destinations are found for the expected search destination."
"passed","Thu Feb 08 14:35:42 UZT 2024","Thu Feb 08 14:35:47 UZT 2024","5171","tests","test_sign_in","TestSignIn","","","Validate Email: abc","This test checks if email is correct and passes only if email has correct syntacsis "
"passed","Thu Feb 08 14:33:17 UZT 2024","Thu Feb 08 14:33:21 UZT 2024","4141","tests","test_registration","TestRegistration","","","Validate Email: ","This test checks if email is correct and passes only if email has correct syntacsis "
"broken","Thu Feb 08 14:40:39 UZT 2024","Thu Feb 08 14:41:12 UZT 2024","33765","tests","test_upload_profile_image","TestUploadProfileImage","","","Set Image Upload Preconditions","This setup test opens website, logs in account and navigates Profile Image Upload Modal to further test automations"
"passed","Thu Feb 08 14:33:09 UZT 2024","Thu Feb 08 14:33:17 UZT 2024","8293","tests","test_registration","TestRegistration","","","Set Account Registration Preconditions","This setup test opens website and navigates to Registration Page to further test automations"
"passed","Thu Feb 08 14:33:21 UZT 2024","Thu Feb 08 14:33:25 UZT 2024","4125","tests","test_registration","TestRegistration","","","Validate Email: abc","This test checks if email is correct and passes only if email has correct syntacsis "
"passed","Thu Feb 08 14:21:00 UZT 2024","Thu Feb 08 14:21:46 UZT 2024","45484","tests","test_changing_currency","TestChangingCurrency","","","Compare Stays item price currency to webtise currency: EUR","Check if changin website currency affects items in Stays Page and price/currency matches the website configuration"
